v0.1.0, 09/10/2017 -- Initial release.
v0.1.1, 09/10/2017 -- Added reStructured Readme.
v0.1.2, 09/10/2017 -- Changed syntax of code blocks from text to code type.
v0.1.3, 09/10/2017 -- Moved code main.py from outer to inside module to init.py and deleted main.py
v0.1.4, 09/10/2017 -- fix imports in main.py
v0.1.5, 09/10/2017 -- fix print to be compatible in both 2.7 and >3
v0.1.6, 09/10/2017 -- fix print in __init__.py to be compatible in both 2.7 and >3
v0.1.7, 09/10/2017 -- truncate __init__.py
v0.1.8, 09/10/2017 -- add def main() to __init__.py
v0.1.9, 09/10/2017 -- truncate __init__.py
v0.2.0, 09/10/2017 -- add def main() to __init__.py
v0.2.1, 09/10/2017 -- Add table for positional arguments in Readme
v0.2.2, 09/10/2017 -- Fix grammar in Readme
